Passage,Question number,Question,A,B,C,D,E,IDK,Answer
"What Is The OSI Model?","The Open Systems Interconnection Model breaks down network communication into seven layers. These layers are useful for identifying network issues.

The Open Systems Interconnection (OSI) model is a conceptual model created by the International Organization for Standardization which enables diverse communication systems to communicate using standard protocols. In plain English, the OSI provides a standard for different computer systems to be able to communicate with each other.

The OSI model can be seen as a universal language for computer networking. It’s based on the concept of splitting up a communication system into seven abstract layers, each one stacked upon the last.


Each layer of the OSI model handles a specific job and communicates with the layers above and below itself. DDoS attacks target specific layers of a network connection; application layer attacks target layer 7 and protocol layer attacks target layers 3 and 4.

Why does the OSI model matter?

Although the modern Internet doesn’t strictly follow the OSI model (it more closely follows the simpler Internet protocol suite), the OSI model is still very useful for troubleshooting network problems. Whether it’s one person who can’t get their laptop on the Internet, or a web site being down for thousands of users, the OSI model can help to break down the problem and isolate the source of the trouble. If the problem can be narrowed down to one specific layer of the model, a lot of unnecessary work can be avoided.

What are the seven layers of the OSI model?

The seven abstraction layers of the OSI model can be defined as follows, from top to bottom:

7. The Application Layer

This is the only layer that directly interacts with data from the user. Software applications like web browsers and email clients rely on the application layer to initiate communications. But it should be made clear that client software applications are not part of the application layer; rather the application layer is responsible for the protocols and data manipulation that the software relies on to present meaningful data to the user. Application layer protocols include HTTP as well as SMTP (Simple Mail Transfer Protocol is one of the protocols that enables email communications).


6. The Presentation Layer

This layer is primarily responsible for preparing data so that it can be used by the application layer; in other words, layer 6 makes the data presentable for applications to consume. The presentation layer is responsible for translation, encryption, and compression of data.

Two communicating devices communicating may be using different encoding methods, so layer 6 is responsible for translating incoming data into a syntax that the application layer of the receiving device can understand.

If the devices are communicating over an encrypted connection, layer 6 is responsible for adding the encryption on the sender’s end as well as decoding the encryption on the receiver's end so that it can present the application layer with unencrypted, readable data.

Finally the presentation layer is also responsible for compressing data it receives from the application layer before delivering it to layer 5. This helps improve the speed and efficiency of communication by minimizing the amount of data that will be transferred.


5. The Session Layer

This is the layer responsible for opening and closing communication between the two devices. The time between when the communication is opened and closed is known as the session. The session layer ensures that the session stays open long enough to transfer all the data being exchanged, and then promptly closes the session in order to avoid wasting resources.

The session layer also synchronizes data transfer with checkpoints. For example, if a 100 megabyte file is being transferred, the session layer could set a checkpoint every 5 megabytes. In the case of a disconnect or a crash after 52 megabytes have been transferred, the session could be resumed from the last checkpoint, meaning only 50 more megabytes of data need to be transferred. Without the checkpoints, the entire transfer would have to begin again from scratch.


4. The Transport Layer

Layer 4 is responsible for end-to-end communication between the two devices. This includes taking data from the session layer and breaking it up into chunks called segments before sending it to layer 3. The transport layer on the receiving device is responsible for reassembling the segments into data the session layer can consume.

The transport layer is also responsible for flow control and error control. Flow control determines an optimal speed of transmission to ensure that a sender with a fast connection doesn’t overwhelm a receiver with a slow connection. The transport layer performs error control on the receiving end by ensuring that the data received is complete, and requesting a retransmission if it isn’t.


3. The Network Layer

The network layer is responsible for facilitating data transfer between two different networks. If the two devices communicating are on the same network, then the network layer is unnecessary. The network layer breaks up segments from the transport layer into smaller units, called packets, on the sender’s device, and reassembling these packets on the receiving device. The network layer also finds the best physical path for the data to reach its destination; this is known as routing.


2. The Data Link Layer

The data link layer is very similar to the network layer, except the data link layer facilitates data transfer between two devices on the SAME network. The data link layer takes packets from the network layer and breaks them into smaller pieces called frames. Like the network layer, the data link layer is also responsible for flow control and error control in intra-network communication (The transport layer only does flow control and error control for inter-network communications).

1. The Physical Layer

This layer includes the physical equipment involved in the data transfer, such as the cables and switches. This is also the layer where the data gets converted into a bit stream, which is a string of 1s and 0s. The physical layer of both devices must also agree on a signal convention so that the 1s can be distinguished from the 0s on both devices.",1,Which 2 layers sit between the Application Layer and the Transport Layer?,"Presentation Layer, Session Layer","Data Link Layer, Presentation Layer","Transmission Layer, Network Layer","DataLink Layer, Physical Layer",None of the above,I don't remember,A
,,2,"Based on the article, what layer is responsible for flow control and error control?",Presentation Layer,Data Link Layer,Transport Layer,The Network Layer,The Session Layer,I don't remember,C
,,3,How many layers comprise the OSI Model?,5,6,7,8,9,I don't remember,C
,,4,"Based on the article, ... q4?",Presentation Layer,Data Link Layer,Transport Layer,The Network Layer,The Session Layer,I don't remember,C
,,5,"Based on the article, ... q5?",5,6,7,8,9,I don't remember,C
"Famous potions from Harry Potter","Amortentia
Amortentia is a love potion that does not create actual love, but gives the drinker a powerful obsession and infatuation with the giver of the potion. It is usually either forced upon someone or covertly given. 

Confusing Concoction
A Confusing Concoction causes the drinker to become confused, distracted[3] and sick. During potions in his third year in Harry Potter and the Prisoner of Azkaban, Harry has to brew this potion but cannot manage to thicken it. Harry sees Severus Snape scribble something on a clipboard that ""looks suspiciously like a zero.""

Draught of Living Death
When a person drinks the Draught of Living Death, they go into a deep sleep so strong that they appear to be dead, hence the name. It is made from powdered root of asphodel which is added to an infusion of wormwood, and was first mentioned in Harry's first potions lesson with Snape in Harry Potter and the Philosophers Stone.

Draught of Peace
The Draught of Peace provides personal comfort, calms anxiety and soothes agitation. In Harry Potter and the Order of the Phoenix, Snape sets the potion as one of his lessons. It is a very difficult potion to make as the ingredients have to be added in a very specific order, the mixture has to be stirred exactly the right number of times, and the heat of the flames on which it is simmering has to be lowered to exactly the right level for the right number of minutes before the final ingredient is added.

Felix Felicis/Liquid Luck
Felix Felicis, more commonly known as Liquid Luck, grants whoever drinks it unusually good luck. The time span of this luck depends on the amount imbibed. 

Pepperup Potion
A Pepperup Potion is designed to improve health, relieve coughs and colds, though it does have one major side effect: it causes steam to dribble from the patient's ears for several hours afterward. It is also used to quickly elevate body temperature, as shown after the second task in Harry Potter and the Goblet of Fire and mentioned in Harry Potter and the Chamber of Secrets.

Polyjuice Potion
The Polyjuice Potion allows the drinker to assume the appearance of someone else for an hour or more depending on the quantity. The potion only causes a physical and voice transformation of the drinker, but clothing is not affected. Its ingredients include fluxweed, knotgrass, lacewing flies, leeches, powdered Bicorn horn, and shredded Boomslang skin. The final component is a bit of the individual to be impersonated; strands of hair are most often used for this purpose.

Skele-Gro
Skele-Gro is a medicinal potion that can regrow missing or removed bones, though it tastes terrible and the process is very slow and extremely painful. In Chamber of Secrets, a bewitched Bludger breaks Harry's arm while he plays Quidditch, and Gilderoy Lockhart, the incompetent Defence Against the Dark Arts teacher, accidentally removes his bones instead of mending them. As a result, Harry takes a dose of the potion and spends the night in the hospital wing.

Sleekeazy's Hair Potion
Sleekeazy's Hair Potion is a beauty treatment used by witches to smooth and straighten hair.

Veritaserum
Veritaserum is a very powerful truth potion. The name ""Veritaserum"" derives from the Latin word Veritas, meaning truth. Three drops of this potion are all that is needed to force anyone to respond to any question with the truth.",1,Which of the following is NOT a famous potion from the Harry Potter series mentioned in the previous article?,Draught of Peace,Draught of Living Death,Pepperup Potion,Polyjuice potion,None of the above,I don't remember,E
,,2,What is the other name for Felix Felicis?,Flashy Flights,Fleeting Feelings,Liquid Love,Liquid Luck,None of the above,I don't remember,D
,,3,Which of the following is not an ingredient for Polyjuice Potion?,fluxweed,knotgrass,lacewing flies,leeches,snakeskin,I don't remember,E
,,4,What ... q4?,Flashy Flights,Fleeting Feelings,Liquid Love,Liquid Luck,None of the above,I don't remember,D
,,5,Which  ... q5?,fluxweed,knotgrass,lacewing flies,leeches,snakeskin,I don't remember,E
"Creation of Central Park","Before Central Park was created, the landscape along what is now the Park�s perimeter from West 82nd to West 89th Street was the site of Seneca Village, a community of predominantly African-Americans, many of whom owned property. By 1855, the village consisted of approximately 225 residents, made up of roughly two-thirds African-Americans, one-third Irish immigrants, and a small number of individuals of German descent.
Seneca Village began in 1825, by the mid-1850s, Seneca Village comprised 50 homes and three churches, as well as burial grounds, and a school for African-American students. Compared to other African-Americans living in New York, residents of Seneca Village seem to have been more stable and prosperous � by 1855, approximately half of them owned their own homes. With property ownership came other rights not commonly held by African-Americans in the City � namely, the right to vote. In 1821, New York State required African-American men to own at least $250 in property and hold residency for at least three years to be able to vote. Of the 100 black New Yorkers eligible to vote in 1845, 10 lived in Seneca Village.

During the early 1850s, the City began planning for a large municipal park to counter unhealthful urban conditions and provide space for recreation. In 1853, the New York State Legislature enacted a law that set aside 775 acres of land in Manhattan � from 59th to 106th Streets, between Fifth and Eighth Avenues � to create the country�s first major landscaped public park.

The City acquired the land through eminent domain, the law that allows the government to take private land for public use with compensation paid to the landowner. This was a common practice in the 19th century, and had been used to build Manhattan�s grid of streets decades earlier. There were roughly 1,600 inhabitants displaced throughout the area. Ultimately, all residents had to leave by the end of 1857. ",1,"By 1855, the village made up of roughly:","two-thirds Irish, one-third African-Americans immigrants","two-thirds African-Americans, one-third Irish immigrants","two-thirds African-Americans, one-third German immigrants","two-thirds German, one-third African-Americans immigrants",None of the above,I don't remember,B
,,2,"In 1821, New York State required African-American men to meet below requirement(s) to vote?",Own property and hold residency for at least five years,Own at least $250 in property and hold residency for at least three years,Own at least $250 in property and have no criminal record,Have paid at least $250 in property tax and hold residency for at least five years,None of the above,I don't remember,B
,,3,"Of the 100 black New Yorkers eligible to vote in 1845, how many lived in Seneca Village?",25,15,10,45,None of the above,I don't remember,C
,,4,"In 1821, ... q4?",Own property and hold residency for at least five years,Own at least $250 in property and hold residency for at least three years,Own at least $250 in property and have no criminal record,Have paid at least $250 in property tax and hold residency for at least five years,None of the above,I don't remember,B
,,5,"Of the 100 black New Yorkers ... q3?",25,15,10,45,None of the above,I don't remember,C
"How money is made","Did you know how much work went into creating bills? It's likely more than you ever expected.
The ordinary paper that consumers use throughout their everyday life such as newspapers, books, cereal boxes, etc., is primarily made of wood pulp; however, United States currency paper is composed of 75 percent cotton and 25 percent linen. This is what gives the United States currency its distinct look, feel and durability. Bills over $1 have red and blue strands woven in for security purposes. Dollar bills do not have this feature.
The image of the dollar bill is engraved onto giant steel plates. All physical monetary production is overseen by the Bureau of Engraving and Printing, which has printing facilities in Washington, D.C. and Fort Worth, Texas.
These sheets of soft steel are then curved slightly and bolted onto a printing cylinder. Ink is added and then wiped off, leaving only ink in the engraved, recessed areas of the plate. Around three tons of special ink are used a day.
The special sheets of paper, together in massive rolls, are then fed through the machines as they rotate, exerting 20 tons of pressure from the top and the bottom. These machines can print around 8,000 sheets per hour.
Sheets of bills also pass through a state-of-the-art computer scanning process that also checks for inconsistencies. One-dollar bills are checked by a machine known as a Nota-Sav. Higher bills are checked by a different program, as they include more security features.
When complete, bills are packaged and shipped all over the country.",1,What is the United States currency paper is composed of,75% cotton and 25% linen,75% cotton and 25% wood pulp,75% cotton and 25% wool,75% cotton and 25% synthetic polymer,None of the above,I don't remember,
,,2,Bills over what dollar amount have red and blue strands woven in for security purposes?,1,2,5,10,None of the above,I don't remember,
,,3,Where are the U.S. paper currency printing facilities?,"Washington, D.C.","Washington, D.C. and McLean, VA","Washington, D.C. and Atlanta, GA","Washington, D.C. and Fort Worth, TX",None of the above,I don't remember,D
,,4,Bills ... q4?,1,2,5,10,None of the above,I don't remember,
,,5,Where  ... q5?,"Washington, D.C.","Washington, D.C. and McLean, VA","Washington, D.C. and Atlanta, GA","Washington, D.C. and Fort Worth, TX",None of the above,I don't remember,D
